
2024/12/23 (21:58:37) | ===> btop++ v.1.4.0
2024/12/23 (21:58:37) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/12/23 (21:58:37) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/23 (21:58:37) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/12/23 (21:58:37) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/12/23 (21:58:37) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/24 (21:10:52) | ===> btop++ v.1.4.0
2024/12/24 (21:10:52) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/12/24 (21:10:52) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/24 (21:10:52) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/12/24 (21:10:52) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/12/24 (21:10:52) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/24 (21:15:31) | ===> btop++ v.1.4.0
2024/12/24 (21:15:31) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/12/24 (21:15:31) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/24 (21:15:31) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/12/24 (21:15:31) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/12/24 (21:15:31) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/24 (21:23:23) | ===> btop++ v.1.4.0
2024/12/24 (21:23:23) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/12/24 (21:23:23) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/24 (21:23:23) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/12/24 (21:23:23) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/12/24 (21:23:23) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/26 (07:13:09) | ===> btop++ v.1.4.0
2024/12/26 (07:13:09) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/12/26 (07:13:09) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/26 (07:13:09) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/12/26 (07:13:09) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/12/26 (07:13:09) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/26 (23:44:07) | ===> btop++ v.1.4.0
2024/12/26 (23:44:07) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/12/26 (23:44:07) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/26 (23:44:07) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/12/26 (23:44:07) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/12/26 (23:44:07) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/26 (23:53:05) | ===> btop++ v.1.4.0
2024/12/26 (23:53:05) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/12/26 (23:53:05) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/26 (23:53:05) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/12/26 (23:53:05) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/12/26 (23:53:05) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/27 (22:54:24) | ===> btop++ v.1.4.0
2024/12/27 (22:54:24) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/12/27 (22:54:24) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/27 (22:54:24) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/12/27 (22:54:24) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/12/27 (22:54:24) | WARNING: ROCm SMI: Failed to get PCIe throughput
